Value,Disaggregation combinations using this value,Number of indicators
Cañitas de Felipe Pescador,15,2
Cedral,15,2
Celaya,15,2
Celestún,15,2
Cenotillo,15,2
Centla,15,2
Centro,15,2
Cerralvo,15,2
Cerritos,15,2
Cerro Azul,15,2
Cerro de San Pedro,15,2
Chacaltianguis,15,2
Chacsinkín,15,2
Chahuites,15,2
Chalcatongo de Hidalgo,15,2
Chalchicomula de Sesma,15,2
Chalchihuites,15,2
Chalchihuitán,15,2
Chalco,15,2
Chalma,15,2
Champotón,15,2
Chamula,15,2
Chanal,15,2
Chankom,15,2
Chapa de Mota,15,2
Chapab,15,2
Chapala,15,2
Chapantongo,15,2
Chapulco,15,2
Chapulhuacán,15,2
Chapultenango,15,2
Chapultepec,15,2
Charapan,15,2
Charcas,15,2
Charo,15,2
Chavinda,15,2
Chemax,15,2
Chenalhó,15,2
Cherán,15,2
Chiapa de Corzo,15,2
Chiapilla,15,2
Chiautempan,15,2
Chiautla,30,2
Chiautzingo,15,2
Chichimilá,15,2
Chichiquila,15,2
Chicoasén,15,2
Chicoloapan,15,2
Chicomuselo,15,2
Chiconamel,15,2
Chiconcuac,15,2
Chiconcuautla,15,2
Chiconquiaco,15,2
Chicontepec,15,2
Chicxulub Pueblo,15,2
Chietla,15,2
Chigmecatitlán,15,2
Chignahuapan,15,2
Chignautla,15,2
Chihuahua,15,2
Chikindzonot,15,2
Chila de la Sal,15,2
Chila,15,2
Chilapa de Álvarez,15,2
Chilchota,15,2
Chilchotla,15,2
Chilcuautla,15,2
Chilpancingo de los Bravo,15,2
Chilón,15,2
Chimalhuacán,15,2
Chimaltitán,15,2
China,15,2
Chinameca,15,2
Chinampa de Gorostiza,15,2
Chinantla,15,2
Chinicuila,15,2
Chiquihuitlán de Benito Juárez,15,2
Chiquilistlán,15,2
Chocamán,15,2
Chocholá,15,2
Choix,15,2
Chontla,15,2
Chucándiro,15,2
Chumatlán,15,2
Chumayel,15,2
Churintzio,15,2
Churumuco,15,2
Chínipas,15,2
Cihuatlán,15,2
Cintalapa,15,2
Citlaltépetl,15,2
Ciudad del Maíz,15,2
Ciudad Fernández,15,2
Ciudad Ixtepec,15,2
Ciudad Madero,15,2
