Indicator
#1-1-1-a
#1-2-1-a
#1-2-2-a
#1-4-2
#1-8-3
#1-n2-2
#1-n3-1-a
#10-2-1a
#10-n-1-1
#10-n-2-1
#10-r-4-1a
#10-r-4-1b
#11-1-1
#11-2-1
#11-3-1
#11-7-1
#11-n-1-1
#11-n-2-1
#11-r-2-1a
#16-1-1
#16-1-3-a
#16-1-3-b
#16-1-4
#16-5-1
#16-6-2-a
#16-6-2-b
#16-7-1b
#16-7-1c
#16-9-1b
#16-n-1-1
#16-n-1-2
#16-n-2-1
#16-n-2-2
#16-n-2-3
#16-n-2-4
#16-n-3-1-a
#16-n-3-1-b
#16-n-3-1-c
#16-n-3-1-d
#16-n-3-1-e
#16-n-3-1-f
#16-n-3-2
#16-r-3b
#17-8-1
#2-1-2-a
#2-2-1
#2-2-2
#2-2-2(1)
#2-2-2(2)
#3-1-1
#3-1-2
#3-2-1
#3-3-2
#3-3-3
#3-3-5
#3-4-2-a
#3-7-1
#3-7-2-a
#3-7-2-b
#3-9-2a
#3-9-3a
#3-c-1
#3-n-3-1
#3-r-3-2
#3-r-7-1
#3-r-7-b
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#4-6-1-a
#4-a-1-a
#4-a-1-b
#4-a-1-c
#4-a-1-d1
#4-a-1-d2
#4-a-1-e
#4-a-1-f
#4-a-1-g
#4-c-1-a
#4-c-1-b
#4-c-1-c
#4-n-2-1
#5-2-1-a
#5-2-2-a
#5-3-1b
#5-4-1b
#5-5-1-c
#5-5-1-d
#5-5-1-e
#5-5-2
#5-6-1
#5-a-1a
#5-a-1b
#5-b-1
#5-n-1-4
#5-n-2-1
#5-n-3-1
#6-n-1-1
#8-5-1a
#8-5-2
#8-5-2(2)
#8-6-1a
#8-6-1b
#8-7-1
#8-n-2-2
#9-1-1
#9-n-3-1
