Value,Disaggregation combinations using this value,Number of indicators
Chihuahua-Ahumada,1,1
Chihuahua-Aldama,1,1
Chihuahua-Allende,1,1
Chihuahua-Aquiles Serdán,1,1
Chihuahua-Ascensión,1,1
Chihuahua-Bachíniva,1,1
Chihuahua-Balleza,1,1
Chihuahua-Batopilas,1,1
Chihuahua-Bocoyna,1,1
Chihuahua-Buenaventura,1,1
Chihuahua-Camargo,1,1
Chihuahua-Carichí,1,1
Chihuahua-Casas Grandes,1,1
Chihuahua-Chihuahua,1,1
Chihuahua-Chínipas,1,1
Chihuahua-Coronado,1,1
Chihuahua-Coyame del Sotol,1,1
Chihuahua-Cuauhtémoc,1,1
Chihuahua-Cusihuiriachi,1,1
Chihuahua-Delicias,1,1
Chihuahua-Dr. Belisario Domínguez,1,1
Chihuahua-El Tule,1,1
Chihuahua-Galeana,1,1
Chihuahua-Gran Morelos,1,1
Chihuahua-Guachochi,1,1
Chihuahua-Guadalupe y Calvo,1,1
Chihuahua-Guadalupe,1,1
Chihuahua-Guazapares,1,1
Chihuahua-Guerrero,1,1
Chihuahua-Gómez Farías,1,1
Chihuahua-Hidalgo del Parral,1,1
Chihuahua-Huejotitán,1,1
Chihuahua-Ignacio Zaragoza,1,1
Chihuahua-Janos,1,1
Chihuahua-Jiménez,1,1
Chihuahua-Julimes,1,1
Chihuahua-Juárez,1,1
Chihuahua-La Cruz,1,1
Chihuahua-López,1,1
Chihuahua-Madera,1,1
Chihuahua-Maguarichi,1,1
Chihuahua-Manuel Benavides,1,1
Chihuahua-Matachí,1,1
Chihuahua-Matamoros,1,1
Chihuahua-Meoqui,1,1
Chihuahua-Morelos,1,1
Chihuahua-Moris,1,1
Chihuahua-Namiquipa,1,1
Chihuahua-Nonoava,1,1
Chihuahua-Nuevo Casas Grandes,1,1
Chihuahua-Ocampo,1,1
Chihuahua-Ojinaga,1,1
Chihuahua-Praxedis G. Guerrero,1,1
Chihuahua-Riva Palacio,1,1
Chihuahua-Rosales,1,1
Chihuahua-Rosario,1,1
Chihuahua-San Francisco de Borja,1,1
Chihuahua-San Francisco de Conchos,1,1
Chihuahua-San Francisco del Oro,1,1
Chihuahua-Santa Bárbara,1,1
Chihuahua-Santa Isabel,1,1
Chihuahua-Satevó,1,1
Chihuahua-Saucillo,1,1
Chihuahua-Temósachic,1,1
Chihuahua-Urique,1,1
Chihuahua-Uruachi,1,1
Chihuahua-Valle de Zaragoza,1,1
Chihuahua,1,1
Ciudad de México-Azcapotzalco,1,1
Ciudad de México-Benito Juárez,1,1
Ciudad de México-Coyoacán,1,1
Ciudad de México-Cuajimalpa de Morelos,1,1
Ciudad de México-Cuauhtémoc,1,1
Ciudad de México-Gustavo A. Madero,1,1
Ciudad de México-Iztacalco,1,1
Ciudad de México-Iztapalapa,1,1
Ciudad de México-La Magdalena Contreras,1,1
Ciudad de México-Miguel Hidalgo,1,1
Ciudad de México-Milpa Alta,1,1
Ciudad de México-Tlalpan,1,1
Ciudad de México-Tláhuac,1,1
Ciudad de México-Venustiano Carranza,1,1
Ciudad de México-Xochimilco,1,1
Ciudad de México-Álvaro Obregón,1,1
Ciudad de México,1,1
Coahuila de Zaragoza-Abasolo,1,1
Coahuila de Zaragoza-Acuña,1,1
Coahuila de Zaragoza-Allende,1,1
Coahuila de Zaragoza-Arteaga,1,1
Coahuila de Zaragoza-Candela,1,1
Coahuila de Zaragoza-Castaños,1,1
Coahuila de Zaragoza-Cuatro Ciénegas,1,1
Coahuila de Zaragoza-Escobedo,1,1
Coahuila de Zaragoza-Francisco I. Madero,1,1
Coahuila de Zaragoza-Frontera,1,1
Coahuila de Zaragoza-General Cepeda,1,1
Coahuila de Zaragoza-Guerrero,1,1
Coahuila de Zaragoza-Hidalgo,1,1
Coahuila de Zaragoza-Jiménez,1,1
Coahuila de Zaragoza-Juárez,1,1
Coahuila de Zaragoza-Lamadrid,1,1
Coahuila de Zaragoza-Matamoros,1,1
Coahuila de Zaragoza-Monclova,1,1
Coahuila de Zaragoza-Morelos,1,1
Coahuila de Zaragoza-Múzquiz,1,1
Coahuila de Zaragoza-Nadadores,1,1
Coahuila de Zaragoza-Nava,1,1
Coahuila de Zaragoza-Ocampo,1,1
Coahuila de Zaragoza-Parras,1,1
Coahuila de Zaragoza-Piedras Negras,1,1
Coahuila de Zaragoza-Progreso,1,1
Coahuila de Zaragoza-Ramos Arizpe,1,1
Coahuila de Zaragoza-Sabinas,1,1
Coahuila de Zaragoza-Sacramento,1,1
Coahuila de Zaragoza-Saltillo,1,1
Coahuila de Zaragoza-San Buenaventura,1,1
Coahuila de Zaragoza-San Juan de Sabinas,1,1
Coahuila de Zaragoza-San Pedro,1,1
Coahuila de Zaragoza-Sierra Mojada,1,1
Coahuila de Zaragoza-Torreón,1,1
Coahuila de Zaragoza-Viesca,1,1
Coahuila de Zaragoza-Villa Unión,1,1
Coahuila de Zaragoza-Zaragoza,1,1
Coahuila de Zaragoza,1,1
Colima-Armería,1,1
Colima-Colima,1,1
Colima-Comala,1,1
Colima-Coquimatlán,1,1
Colima-Cuauhtémoc,1,1
Colima-Ixtlahuacán,1,1
Colima-Manzanillo,1,1
Colima-Minatitlán,1,1
Colima-Tecomán,1,1
Colima-Villa de Álvarez,1,1
Colima,1,1
Durago-Canatlán,1,1
Durago-Canelas,1,1
Durago-Coneto de Comonfort,1,1
Durago-Cuencamé,1,1
Durago-Durango,1,1
Durago-El Oro,1,1
Durago-General Simón Bolívar,1,1
Durago-Guadalupe Victoria,1,1
Durago-Guanaceví,1,1
Durago-Gómez Palacio,1,1
Durago-Hidalgo,1,1
Durago-Indé,1,1
Durago-Lerdo,1,1
Durago-Mapimí,1,1
Durago-Mezquital,1,1
Durago-Nazas,1,1
Durago-Nombre de Dios,1,1
Durago-Nuevo Ideal,1,1
Durago-Ocampo,1,1
Durago-Otáez,1,1
Durago-Peñón Blanco,1,1
Durago-Poanas,1,1
Durago-Pueblo Nuevo,1,1
Durago-Pánuco de Coronado,1,1
Durago-Rodeo,1,1
Durago-San Bernardo,1,1
Durago-San Dimas,1,1
Durago-San Juan de Guadalupe,1,1
Durago-San Juan del Río,1,1
Durago-San Luis del Cordero,1,1
Durago-San Pedro del Gallo,1,1
Durago-Santa Clara,1,1
Durago-Santiago Papasquiaro,1,1
Durago-Súchil,1,1
Durago-Tamazula,1,1
Durago-Tepehuanes,1,1
Durago-Tlahualilo,1,1
Durago-Topia,1,1
Durago-Vicente Guerrero,1,1
Durango,1,1
Estados Unidos Mexicanos,1,1
Guanajuato-Abasolo,1,1
Guanajuato-Acámbaro,1,1
Guanajuato-Apaseo el Alto,1,1
Guanajuato-Apaseo el Grande,1,1
Guanajuato-Atarjea,1,1
Guanajuato-Celaya,1,1
Guanajuato-Comonfort,1,1
Guanajuato-Coroneo,1,1
Guanajuato-Cortazar,1,1
Guanajuato-Cuerámaro,1,1
Guanajuato-Doctor Mora,1,1
Guanajuato-Dolores Hidalgo Cuna de la Independencia Nacional,1,1
Guanajuato-Guanajuato,1,1
Guanajuato-Huanímaro,1,1
Guanajuato-Irapuato,1,1
Guanajuato-Jaral del Progreso,1,1
Guanajuato-Jerécuaro,1,1
Guanajuato-León,1,1
Guanajuato-Manuel Doblado,1,1
Guanajuato-Moroleón,1,1
Guanajuato-Ocampo,1,1
Guanajuato-Pueblo Nuevo,1,1
Guanajuato-Purísima del Rincón,1,1
Guanajuato-Pénjamo,1,1
Guanajuato-Romita,1,1
Guanajuato-Salamanca,1,1
Guanajuato-Salvatierra,1,1
Guanajuato-San Diego de la Unión,1,1
Guanajuato-San Felipe,1,1
Guanajuato-San Francisco del Rincón,1,1
Guanajuato-San José Iturbide,1,1
Guanajuato-San Luis de la Paz,1,1
Guanajuato-San Miguel de Allende,1,1
Guanajuato-Santa Catarina,1,1
Guanajuato-Santa Cruz de Juventino Rosas,1,1
Guanajuato-Santiago Maravatío,1,1
Guanajuato-Silao de la Victoria,1,1
Guanajuato-Tarandacuao,1,1
Guanajuato-Tarimoro,1,1
Guanajuato-Tierra Blanca,1,1
Guanajuato-Uriangato,1,1
Guanajuato-Valle de Santiago,1,1
Guanajuato-Victoria,1,1
Guanajuato-Villagrán,1,1
Guanajuato-Xichú,1,1
Guanajuato-Yuriria,1,1
Guanajuato,1,1
Guerrero-Acapulco de Juárez,1,1
Guerrero-Acatepec,1,1
Guerrero-Ahuacuotzingo,1,1
Guerrero-Ajuchitlán del Progreso,1,1
Guerrero-Alcozauca de Guerrero,1,1
Guerrero-Alpoyeca,1,1
Guerrero-Apaxtla,1,1
Guerrero-Arcelia,1,1
Guerrero-Atenango del Río,1,1
Guerrero-Atlamajalcingo del Monte,1,1
Guerrero-Atlixtac,1,1
Guerrero-Atoyac de Álvarez,1,1
Guerrero-Ayutla de los Libres,1,1
Guerrero-Azoyú,1,1
Guerrero-Benito Juárez,1,1
Guerrero-Buenavista de Cuéllar,1,1
Guerrero-Chilapa de Álvarez,1,1
Guerrero-Chilpancingo de los Bravo,1,1
Guerrero-Coahuayutla de José María Izazaga,1,1
Guerrero-Cochoapa el Grande,1,1
Guerrero-Cocula,1,1
Guerrero-Copala,1,1
Guerrero-Copalillo,1,1
Guerrero-Copanatoyac,1,1
Guerrero-Coyuca de Benítez,1,1
Guerrero-Coyuca de Catalán,1,1
Guerrero-Cuajinicuilapa,1,1
Guerrero-Cualác,1,1
Guerrero-Cuautepec,1,1
Guerrero-Cuetzala del Progreso,1,1
Guerrero-Cutzamala de Pinzón,1,1
Guerrero-Eduardo Neri,1,1
Guerrero-Florencio Villarreal,1,1
Guerrero-General Canuto A. Neri,1,1
Guerrero-General Heliodoro Castillo,1,1
Guerrero-Huamuxtitlán,1,1
Guerrero-Huitzuco de los Figueroa,1,1
Guerrero-Iguala de la Independencia,1,1
Guerrero-Igualapa,1,1
Guerrero-Iliatenco,1,1
Guerrero-Ixcateopan de Cuauhtémoc,1,1
Guerrero-José Joaquín de Herrera,1,1
Guerrero-Juan R. Escudero,1,1
Guerrero-Juchitán,1,1
Guerrero-La Unión de Isidoro Montes de Oca,1,1
Guerrero-Leonardo Bravo,1,1
Guerrero-Malinaltepec,1,1
Guerrero-Marquelia,1,1
Guerrero-Metlatónoc,1,1
Guerrero-Mochitlán,1,1
Guerrero-Mártir de Cuilapan,1,1
Guerrero-Olinalá,1,1
Guerrero-Ometepec,1,1
Guerrero-Pedro Ascencio Alquisiras,1,1
Guerrero-Petatlán,1,1
Guerrero-Pilcaya,1,1
Guerrero-Pungarabato,1,1
Guerrero-Quechultenango,1,1
Guerrero-San Luis Acatlán,1,1
Guerrero-San Marcos,1,1
Guerrero-San Miguel Totolapan,1,1
Guerrero-Taxco de Alarcón,1,1
Guerrero-Tecoanapa,1,1
Guerrero-Teloloapan,1,1
Guerrero-Tepecoacuilco de Trujano,1,1
Guerrero-Tetipac,1,1
Guerrero-Tixtla de Guerrero,1,1
Guerrero-Tlacoachistlahuaca,1,1
Guerrero-Tlacoapa,1,1
Guerrero-Tlalchapa,1,1
Guerrero-Tlalixtaquilla de Maldonado,1,1
Guerrero-Tlapa de Comonfort,1,1
Guerrero-Tlapehuala,1,1
Guerrero-Técpan de Galeana,1,1
Guerrero-Xalpatláhuac,1,1
Guerrero-Xochihuehuetlán,1,1
Guerrero-Xochistlahuaca,1,1
Guerrero-Zapotitlán Tablas,1,1
Guerrero-Zihuatanejo de Azueta,1,1
Guerrero-Zirándaro,1,1
Guerrero-Zitlala,1,1
Guerrero,1,1
Hidalgo-Acatlán,1,1
Hidalgo-Acaxochitlán,1,1
Hidalgo-Actopan,1,1
Hidalgo-Agua Blanca de Iturbide,1,1
Hidalgo-Ajacuba,1,1
Hidalgo-Alfajayucan,1,1
Hidalgo-Almoloya,1,1
Hidalgo-Apan,1,1
Hidalgo-Atitalaquia,1,1
Hidalgo-Atlapexco,1,1
Hidalgo-Atotonilco de Tula,1,1
Hidalgo-Atotonilco el Grande,1,1
Hidalgo-Calnali,1,1
Hidalgo-Cardonal,1,1
Hidalgo-Chapantongo,1,1
Hidalgo-Chapulhuacán,1,1
Hidalgo-Chilcuautla,1,1
Hidalgo-Cuautepec de Hinojosa,1,1
Hidalgo-El Arenal,1,1
Hidalgo-Eloxochitlán,1,1
Hidalgo-Emiliano Zapata,1,1
Hidalgo-Epazoyucan,1,1
Hidalgo-Francisco I. Madero,1,1
Hidalgo-Huasca de Ocampo,1,1
Hidalgo-Huautla,1,1
Hidalgo-Huazalingo,1,1
Hidalgo-Huehuetla,1,1
Hidalgo-Huejutla de Reyes,1,1
Hidalgo-Huichapan,1,1
Hidalgo-Ixmiquilpan,1,1
Hidalgo-Jacala de Ledezma,1,1
Hidalgo-Jaltocán,1,1
Hidalgo-Juárez Hidalgo,1,1
Hidalgo-La Misión,1,1
Hidalgo-Lolotla,1,1
Hidalgo-Metepec,1,1
Hidalgo-Metztitlán,1,1
Hidalgo-Mineral de la Reforma,1,1
Hidalgo-Mineral del Chico,1,1
Hidalgo-Mineral del Monte,1,1
Hidalgo-Mixquiahuala de Juárez,1,1
Hidalgo-Molango de Escamilla,1,1
Hidalgo-Nicolás Flores,1,1
Hidalgo-Nopala de Villagrán,1,1
Hidalgo-Omitlán de Juárez,1,1
Hidalgo-Pachuca de Soto,1,1
Hidalgo-Pacula,1,1
Hidalgo-Pisaflores,1,1
Hidalgo-Progreso de Obregón,1,1
Hidalgo-San Agustín Metzquititlán,1,1
Hidalgo-San Agustín Tlaxiaca,1,1
Hidalgo-San Bartolo Tutotepec,1,1
Hidalgo-San Felipe Orizatlán,1,1
Hidalgo-San Salvador,1,1
Hidalgo-Santiago de Anaya,1,1
Hidalgo-Santiago Tulantepec de Lugo Guerrero,1,1
