Value,Disaggregation combinations using this value,Number of indicators
Hombres Grupos de edad,7,1
Hombres,2637,5
Mujeres Grupos de edad,7,1
Mujeres,2637,5
Total a/,33,1
Total Grupos de edad,7,1
Total,2604,5
Total/,1,1
