Indicator
#1-2-1(1)
#1-2-2(1)
#1-2-2(2)
#11-2-1
#11-r-2-1a
#11-r-2-1c
#11-r-2-1d
#16-1-1
#16-1-3-a
#16-1-3-b
#16-1-3-c
#16-1-4
#16-3-1
#16-3-1-a
#16-3-1-b
#16-3-1-c
#16-3-2
#16-5-1
#16-6-2-a
#16-6-2-b
#16-7-1b
#16-7-1c
#16-7-2
#16-9-1a
#16-n-1-1
#16-n-2-1
#16-n-2-2
#16-n-2-3
#16-n-2-4
#16-n-3-1-a
#16-n-3-1-b
#16-n-3-1-c
#16-n-3-1-d
#16-n-3-1-e
#16-n-3-1-f
#16-n-3-2
#2-1-2
#3-3-1
#4-2-2
#4-6-1-a
#4-c-1-a
#4-c-1-b
#4-c-1-c
#4-r-3-1
#5-a-1a
#8-3-1
#8-3-1(2)
#8-5-1a
#8-5-1b
#8-5-1c
#8-5-1d
#8-5-2
#8-5-2(2)
#8-6-1b
#8-7-1
#8-8-1
#8-n-2-2
#8-n-3-1a
#8-r-6-1
#9-2-2
#9-2-2(2)
